[0s] 我講講我的底層的投哲學吧
[3290s] 就是說
[3291s] 好塞道理
[3292s] 那好公司
[3293s] 我們給到S
[3294s] 好塞道理
[3295s] 那一般公司
[3296s] 給到A
[3297s] 一般塞到好公司
[3299s] 給到B
[3300s] C呢
[3301s] 就說一般我們
[3302s] 是不同的
[3303s] 然後K的話
[3304s] 就是重倉
[3305s] M的就是持有
[3306s] D
[3307s] 就是輕倉
[3308s] 所以它形成了
[3309s] 這樣一個
[3310s] 平體體系
[3311s] 後來我們又完善了一下
[3313s] 就是同樣是S
[3314s] 你不同
[3315s] 敦衛的塞道
[3316s] 應該是區別開來的
[3318s] 所以我們在
[3319s] S
[3321s] 後面加了一個數字
[3323s] 比如說S5
[3325s] 那什麼意思呢
[3326s] 就是萬億塞道
[3328s] S4呢
[3329s] 就是
[3330s] 千億塞道
[3331s] 它有了這樣一個平級
[3333s] 形成平級
[3334s] 然後呢
[3335s] 在細化這個平級
[3336s] 那麼現在呢
[3338s] 就是因為AI的發展以後呢
[3340s] 那麼這些平級
[3342s] 除了我們研究員會寫
[3344s] 報告
[3345s] AI可以打分了
[3346s] AI直接給我出報告
[3348s] 它會上來
[3350s] 直接第一個階段
[3351s] 它的平級是
[3352s] S
[3353s] S級
[3354s] 然後的交易策略是
[3356s] M
[3357s] 還是K
[3358s] 它會
[3359s] 嚴格的按照我
[3361s] 想要的
[3362s] 看到的那個東西
[3364s] 除我想要的
[3366s] 投資價值的這個報告
[3368s] 那麼股票是
[3369s] 可能100支
[3370s] 它暴力的寫出來這些
[3372s] 投資價值分析報告
[3374s] 而且按照我的想法寫出來
[3376s] 然後拉出
[3377s] DiF估值的模型
[3378s] 建立監控版
[3380s] 和DiF估值的
[3381s] 目標價便利多少
[3383s] 然後我們形成了一個
[3385s] 投資速度的概念
[3387s] 投資速度是什麼呢
[3389s] 就是空間
[3392s] 處以
[3393s] 時間
[3394s] 誠意
[3395s] 概率
[3397s] 那這樣的話
[3398s] 就是說
[3399s] 哪個速度快
[3400s] 我們就把速度慢
[3402s] 切到投資速度快的
[3404s] 品種裡面去
[3405s] 你這個速度快
[3406s] 是指股價變動了速度嗎
[3408s] 就是預期未來的空間
[3410s] 處以
[3412s] 多長時間能到那個空間
[3414s] 再誠意它的概率
[3416s] 就形成了投資速
[3418s] 所以我們用投資速度公式
[3420s] 來指導我們的調藏換藏
[3422s] 你剛才提到
[3423s] 比如說
[3424s] 如果選SABC
[3426s] 就是說白了
[3427s] 到底是龍頭塞到
[3429s] 還是包括你的萬一級
[3431s] 還是千一級
[3432s] 這也聽起來你通過
[3433s] 市場的數據
[3434s] 肯定是能夠快速處理出來的嘛
[3436s] 但比如說你
[3437s] 說交易策略
[3438s] 你說是重艙持有
[3440s] 還是賣出
[3441s] 剛才說的KM還是D
[3443s] AI怎麼判斷呢
[3445s] 就首先嘛
[3447s] 就是說以前沒有AI的話
[3449s] 我們可能就是用PS的判斷
[3452s] PB的判斷
[3454s] 就是來看它在那個空間
[3456s] 對對對
[3457s] 就能做出來
[3458s] 那現在呢
[3459s] 就是說它
[3460s] 就是用DCF這個模式
[3462s] 那只是DCF
[3464s] 假設不同
[3465s] 就結論是不同
[3466s] 那就是它可以
[3467s] 幫我們基本面的理解
[3469s] 重會在DCF的這個模型裡頭
[3472s] 那麼
[3473s] 它也會知道目標價是多少
[3475s] 現在是多少
[3476s] 當這個目標價
[3478s] 就是目前的股價
[3481s] 嚴重低估的時候
[3482s] 它一定會給你一個開瓶器
[3484s] 明白
[3485s] 就是一個圈重艙的一個
[3487s] 對對對
[3488s] 還有呢
[3489s] 就是說它也會推倒出來
[3491s] 催化器
[3492s] 不僅看DCF是一個很長的東西
[3494s] 它也會看市場的催化器
[3496s] 這個催化器來了以後
[3498s] 它會告訴你
[3499s] 這個是重艙
[3501s] 像催化器這種東西
[3502s] 你覺得是比如說
[3504s] 在沒有AI的時代
[3505s] 我純通過你們自己
[3507s] 比如說建立一套公式
[3509s] 建立一套系統
[3510s] 然後把所有的數據書進去
[3512s] 它自動
[3513s] 就能給你生成一個
[3514s] 對於廁化器的
[3515s] 那很難
[3516s] 那所以說AI知道
[3517s] 解決的是什麼問題
[3518s] 比如說它是
[3519s] 紋本閱讀的問題
[3520s] 一個是紋本閱讀
[3521s] 它其實也能理解你的整意思
[3523s] 而不是純粹的看數據
[3525s] 就是我們每天
[3526s] 比如7點半
[3527s] 股票持續所有的這個
[3530s] 股票的
[3531s] 它的編輯變化
[3532s] 它會發揮一張表格
[3535s] 到了8點鐘
[3537s] 它會把
[3538s] 所有的這個
[3539s] 孤職
[3540s] 高孤的
[3541s] 低孤的
[3542s] 都給我提示我
[3544s] 8點半
[3545s] 它提示我
[3546s] 哪些是
[3547s] 現在市場關注的
[3548s] 動量比較強的那些股票
[3550s] 然後到9點鐘
[3551s] 給我出個頭建議
[3552s] 這是你自己搭的
[3554s] 一個
[3555s] 自己搭的能下的
[3556s] 是你做自己用龍蝦
[3557s] 做了給Agent
[3558s] 對
[3559s] 比如說你叫我一個研究員
[3561s] 做的
[3562s] 它不需要研究員做的
[3564s] 我的研究員
[3565s] 是給我來驗證的
[3567s] 就是
[3568s] 因為我先發現
[3569s] 換句的一般
[3570s] 不大
[3571s] 這個不重要
[3572s] 就是有換句
[3573s] 和沒換句
[3574s] 有那麼重要
[3575s] 你原來沒這個東西
[3577s] 因為決策
[3578s] 還是在你自己
[3579s] 我只是把這些信心
[3580s] 列出來
[3581s] 就是我如果
[3582s] 沒有發現它是8個
[3583s] 我就暫時相信它
[3585s] 我發現8個
[3586s] 我就不用它了
[3587s] 這裡面你能舉一個例子嗎
[3589s] 比如說我還是很好奇
[3591s] 通過AI
[3592s] 而不是傳統的
[3594s] 傳統比如說系統
[3595s] 數據這種模式
[3596s] AI能夠
[3597s] 更新的或者
[3599s] 更原創的
[3601s] 怎麼理解這個垂化季
[3603s] 比如說
[3604s] 有哪個垂化季被它發現了
[3606s] 你們覺得還挺驚訝的
[3607s] 它就是新墳出來的東西
[3609s] 也不驚訝
[3610s] 就是你也看到了
[3611s] 但是它就整理得比你好
[3613s] 必須地方我就提醒它
[3615s] 它在你互動的觀眾
[3616s] 它慢慢地就理解了你的一些說法
[3619s] 最近呢
[3620s] 我覺得華為套理論的話
[3622s] 我說
[3623s] 你把這個加進去
[3624s] 加到產業分析的一套
[3626s] 它直接就把數據出來
[3627s] 實際上
[3628s] 我覺得也很好
[3629s] 比如說兩個月
[3630s] 我讓AI給我生成那個PVT的時候
[3633s] 它的格式
[3634s] 我就亂七八糟了
[3635s] 它現在呢
[3636s] 它深層的就是
[3637s] 我想要它
[3638s] 把logo
[3639s] 把這個圖片虛化
[3641s] 全都夠做好
[3642s] 而且你看這個
[3643s] 街市也都它提升了
[3645s] 就合作投資人認證
[3647s] 到後面的風險街上
[3648s] 全都給你出來吧
[3649s] 比如說AI
[3650s] 給你書裡書
[3651s] 這樣的一套報告
[3653s] 對你的投資框架的這個指導作用
[3656s] 現在大概是一個
[3658s] 什麼樣的影響圍堵
[3660s] 助理
[3661s] 就是
[3662s] 我拿您剛才舉的這個例子
[3663s] 比如說
[3664s] 你說把最新的華為的套理論
[3666s] 給放進去
[3667s] 那這個套理論
[3668s] 如果我們這兩天密集的看
[3670s] 媒體的各路報導
[3671s] 包括很多的自媒體
[3673s] 就是它可能從投資層面
[3674s] 去分一件事情
[3676s] 實際上也是有兩種
[3677s] 不同的看法
[3678s] 有些人會換個課
[3680s] 來解釋你做不到
[3681s] 更低納米的
[3682s] 這樣的一種產品
[3683s] 對吧
[3684s] 你是用另外一套思路
[3686s] 解決你的製程的問題
[3688s] 那還有一個就是說
[3689s] 你打開了新局面
[3690s] 比如說
[3691s] 不同的那邊
[3692s] 和您自己
[3693s] 真的去找專家去問
[3694s] 形成一個你自己對於
[3696s] 套理論未來的一個
[3697s] 投資方向的判斷
[3698s] 但是它其實
[3699s] 也是查網上的資料
[3700s] 它幫你書裡的更好
[3702s] 每一個對您的指導做人更大
[3704s] 原來那種找專家和
[3706s] 現在它通過網上的一個快速的書裡
[3709s] 一定是提高了效率
[3711s] 我先不說它對錯
[3712s] 所有的認知都是
[3714s] 基於現在的這個信息
[3716s] 提高的效率是說
[3718s] 它快速閱讀
[3719s] 所以選上的高高
[3720s] 這是它的優勢
[3722s] 但它形不成判斷
[3723s] 它也形成判斷
[3724s] 你也能形成判斷
[3725s] 比如說這個理論
[3726s] 就給你討論這個結論
[3728s] 是非常清晰的
[3729s] 就是看好的不漂亮的一些
[3731s] 直接把看好的股票
[3733s] 給說出來
[3734s] 而且告訴你
[3735s] 你比我是什麼
[3736s] 但是在意見身的問題
[3738s] 比如說AI給了你
[3739s] 甚至都推票了
[3741s] 比如說研究員
[3742s] 因為現在可能還是一個
[3744s] 您看它提到這是一個參考
[3746s] 或者一個助理
[3747s] 比如至於研究員
[3748s] 看到了AI的推票
[3749s] 那它可能要去做驗證
[3751s] 包括您可能也得
[3753s] 去做驗證
[3754s] 就這個驗證的過程
[3756s] 比如你們現在實際使用
[3757s] 來看就有多少事
[3759s] 其實最後你決定不停了AI了
[3762s] 從來沒有說不停AI的
[3764s] 那是至少是
[3765s] 一有的這些
[3767s] 人的勞動的一個
[3769s] 沉澱
[3770s] 沒有必要不停AI的
[3772s] 因為它是對現有的
[3774s] 這些綜合的一個處理
[3776s] 就是你知道
[3777s] 一致信息在哪裡
[3779s] 那你要找的是這個預期差
[3781s] 一致是預期錯了
[3782s] 那你要找到它那錯在哪了
[3785s] 它錯了
[3786s] 不是說方法論的問題
[3788s] 因為方法論大家都是
[3790s] 要么是歸大法
[3792s] 從經驗歸大出來
[3793s] 要么是因國法
[3795s] AI它用這兩個方法
[3797s] 來推倒出來的東西
[3800s] 除非它數據源是錯誤的
[3802s] 要不然它不會推倒出來
[3805s] 特別離譜的東西
[3807s] 很多人擔心AI來了以後
[3809s] 人類會失去工作
[3811s] 而我一點都不擔心
[3813s] 尤其我們這個行業
[3815s] AI用得越多
[3816s] 就越需要調研
[3818s] 這個原因是
[3819s] 因為你要驗證AI的結論
[3821s] 數據源不一樣
[3823s] 這個數據源它可能不傳上網
[3825s] 人能做的就是說
[3827s] 你要實力
[3828s] 你實力調研以後
[3829s] 看到的是場景
[3831s] 人物的動態
[3833s] 而你所有的引擎文化
[3835s] 都是文字
[3836s] 就是我們做投資一樣
[3838s] 就是要從一個文字的處理
[3840s] 變成一個物理世界的一個處理
[3843s] 你要從一個物理的
[3845s] 存的這個文字處理
[3847s] 變成整個真實世界的
[3849s] 一個數據的處理
[3851s] 所以這個需要調研
[3852s] 這個調研是源於比如說
[3854s] 還是不信任AI給的結論
[3856s] 不是不是
[3857s] 是基於就說
[3859s] 你要獲得更真實的
[3861s] 更及時的
[3863s] 真實和及時性
[3865s] 才能夠讓你化得
[3867s] 更多的而法
[3869s] 明白
[3870s] 那AI給的是算是一個出篩嗎
[3873s] 就給你一個方向
[3874s] 其實不重要
[3876s] 就是這個東西
[3877s] 人類對世界的認知
[3878s] 都是從出度框架
[3880s] 到很深層次的細節的這個理解
[3883s] 有了安因斯蘭的相對論
[3885s] 難道你就一定要
[3886s] 否定掉這個紐頓這個力學嗎
[3888s] 不需要
[3889s] 就是又有了紐頓的這個發現
[3892s] 才會有後面的
[3893s] 這些理論的發現
[3895s] AI的東西
[3896s] 我覺得沒有必要去否定掉
[3898s] 但是它有不完善的地方
[3900s] 當你處理日常的事情的時候
[3903s] 你用紐頓的律界就可以了
[3905s] 但是你在處理天體問題的時候
[3908s] 或者量子問題的時候
[3909s] 你就需要用安因斯坦這些理論
[3912s] 平時你用這個
[3914s] 量子裡面解決咱倆說話
[3916s] 吃飯這些問題
[3917s] 不需要
[3918s] 聽你的意思就是說
[3920s] 反正更具體
[3921s] 你舉個那個天體物理的那個例子
[3923s] 對
[3924s] 可能就是需要研究員
[3925s] 再去做深入的研究了
[3927s] 還或者是量子物理的
[3928s] 都需要去研究
[3930s] 那最終就是說
[3931s] 確實也有可能比如說
[3933s] 和AI給了結論是不一致的
[3935s] 有可能
[3936s] 但是AI可能在前期
[3938s] 起到了一個重要的參考的作業
[3940s] 是的
[3941s] 差不多是這麼一個關係
[3942s] 對而且它解決了
[3943s] 你處理數據需要好時不要大
[3946s] 投資就要講速度
[3948s] 能夠提升你速度方法
[3950s] 你都要去吸納它
[3952s] 剛有一個話題沒聊完
[3953s] 就是我們在聊年
[3955s] 15年之後
[3956s] 剛剛成立之後
[3957s] 馬上吃到了一波
[3959s] 但是第二波就是極力的這個案例
[3962s] 因為剛剛我們談到
[3963s] 就是說你什麼時候賣的
[3964s] 因為從可能兩塊錢開始
[3967s] 我剛才快速搜了一下
[3969s] 實際上可能極力到
[3971s] 也就是一八年
[3973s] 其實就到了大概20塊了
[3975s] 17年就已經破到20了
[3978s] 大概在那個時候賣的
[3979s] 還是說其實它後來又回徹了之後
[3981s] 應該都有一些
[3983s] 但是我們還是賣的稍微晚了一點
[3986s] 就更多的部分賣的稍微晚了
[3988s] 有時候經驗是通過一個案例
[3991s] 一個案例最後形成的
[3993s] 因為其實那個時候很明顯
[3995s] 就說它的這個兩年
[3997s] 那業績好
[3998s] 每年大概增長百分之百
[4000s] 兩年的業績增速呢
[4002s] 大概是四倍
[4003s] 就是從一塊錢到45塊錢
[4005s] 這樣一個過程
[4006s] 它長了十倍那是為什麼
[4008s] 是孤值的提升了一倍
[4010s] 原來給個十倍不到的批
[4013s] 長得高峰的時候
[4014s] 給到這個20倍以上的這個批
[4017s] 高點的時候就說你看
[4019s] 批譯的或者PCOS的話
[4021s] 都已經突破了那個
[4023s] 批辦的PS辦的最高限的
[4025s] 都已經在上面跑了
[4027s] 就需要緊貼了
[4028s] 所以在後面我們建立
[4030s] 我們的風控體系的時候
[4032s] 其實我們把這些因素都靠近進去
[4034s] 包括你們剛才提到的
[4036s] 你們這一套
[4037s] 買K字頭啊
[4038s] 或者我們交一策略的品質
[4041s] 交一策略品質
[4042s] 大概是在什麼時間點行
[4043s] 就是後面就是我們這些思想
[4045s] 都是在前面一點期待
[4047s] 但是到了20年以後
[4049s] 20年就完全就是找這個來
[4051s] 我們基本到這個階段
[4053s] 就是完成了
[4055s] 我們自己認為
[4056s] 可能就要2.0時代
[4058s] 我看您的那個產品的曲線啊
[4060s] 其實從您剛剛成立這樣
[4063s] 共同13年左右
[4064s] 然後當然馬上15年
[4066s] 確實有一波小小的拉聲
[4068s] 可能確實就一直到19年
[4070s] 還都是一套橫線
[4072s] 然後稍微有上漲
[4074s] 但是它整體平淡了
[4076s] 大概就是不突出
[4078s] 對不突出
[4079s] 甚至我也活著
[4080s] 大概五六年的時間
[4082s] 我們每年其實都是跑營指數的
[4084s] 但是那就是
[4085s] 但是並不突出
[4086s] 為什麼呢
[4087s] 就是一個是我不敢冒勁
[4088s] 但是我一直在進化
[4090s] 一直在理解這個事上
[4092s] 跟隨這個事上
[4093s] 就是我們沒有掉對
[4095s] 但是我也不突出
[4096s] 我覺得這也是我們的一個策略
[4098s] 我覺得投資是長跑
[4100s] 一開始是跑前面的人
[4102s] 就是帶路的
[4103s] 你的封組啊
[4104s] 各方面都會打
[4105s] 我藏在這個對舞中間
[4107s] 等到就是說
[4109s] 拼耐力的時候
[4110s] 那我能夠衝上去
[4112s] 那顯然之後
[4114s] 19到21年
[4116s] 這個協力就上去了
[4118s] 差不多是這個階段
[4119s] 正好
[4120s] 我們的這個
[4122s] 平級體系要推出的時候
[4124s] 而且我們其實是從15年
[4126s] 就開始有量化的
[4128s] 人的這個機序了
[4129s] 然後我們從那個時候
[4131s] 一直在編程區編程區
[4133s] 它都是點壯的
[4135s] 對這個整個投資體系的理解
[4137s] 也是點壯的
[4138s] 字控講的是
[4140s] 要避還
[4142s] 避還才能穩定
[4144s] 從這個位置
[4145s] 拉一條
[4147s] 線回來
[4148s] 反匯一個
[4149s] 前面的那個控制信號
[4151s] 我們前面都是在點壯
[4153s] 點壯的在走
[4154s] 它沒有避還
[4155s] 這個過程
[4156s] 因為投資很複雜
[4158s] 你雖然在這個事情
[4159s] 點上你有些突破
[4161s] 但是你沒有避還
[4162s] 它沒法發揮作用
[4164s] 因為誠意見事情
[4165s] 是A成B成C成B
[4167s] 你有一個環節是0的
[4169s] 最後就是0
[4170s] 直到就說
[4171s] 你到避還
[4172s] 做成了
[4173s] 可能也就是在這個
[4175s] 20年前後的這段時間
[4177s] 19到21年
[4178s] 這段時間
[4179s] 整個曲線
[4180s] 就和19年之前
[4181s] 是完全不同的
[4183s] 因為寫著往上走
[4184s] 我們是在這個
[4186s] 18年的時候
[4188s] 當我們的管理規模
[4190s] 就是17年年
[4191s] 就差不多接近20個億
[4193s] 我們就在內部
[4195s] 做了一次
[4196s] 百日精進的這個工作
[4198s] 就是我們花了一百天時間
[4200s] 來整顧我們的
[4202s] 投資的方法論
[4204s] 其實就是說
[4206s] 參與我們百日精進的
[4208s] 這些人員
[4209s] 可能也好多都已經
[4210s] 離開了
[4211s] 但是
[4212s] 最後成變出來的這個體系
[4215s] 就是我們
[4216s] 用新的演員進來以後
[4218s] 我們仍然能貫徹
[4220s] SA、B、KM、D的這樣
[4222s] 平息體系
[4223s] 所以我覺得是體系的力量
[4225s] 重於某隻股票
[4226s] 給你那個貢獻
[4228s] 因為這個體系的
[4230s] 不斷的進步的話
[4231s] 其實我們在過去的
[4233s] 十幾年裡頭
[4234s] 每個階段的
[4236s] 最強的一個綁垮
[4237s] 我們都參與
[4239s] 而這本都參與到了
[4240s] 大家都參與到了
[4241s] 幾乎也都是
[4243s] 吃藏裡面最重的那個綁垮
[4244s] 不是一天變過去的
[4245s] 而是
[4247s] 通過一天一天的
[4249s] 這樣的過程
[4251s] 它自然然轉到那裡去了
[4253s] 其實就是這個
[4254s] 還蠻重要的
[4255s] 我覺得就是
[4256s] 我們的實力能力還可以
[4258s] 我主要想探訓一下
[4259s] 比如說
[4260s] 19到21年
[4261s] 它的曲線是
[4262s] 就開始寫上網上長了
[4264s] 然後到21年
[4266s] 再一直可以說到
[4268s] 20年94之前
[4269s] 然後也是一個橫盤震盪
[4272s] 當然確實我看
[4274s] 回射什麼都控制很好
[4276s] 但是是在一個
[4277s] 橫盤的一個
[4278s] 我們其實直到22年之後
[4280s] 才真正的
[4281s] 更加嚴格的去執行
[4283s] 這個回射的控制
[4285s] 那以前都是
[4286s] 還是這種
[4287s] 我覺得其實
[4288s] 跟1.0版本
[4289s] 沒有太大的這個區別
[4290s] 就是那時候
[4291s] 對回射的理解
[4293s] 其實1.0版本
[4294s] 就是像
[4295s] 那次老中醫的這個模式
[4296s] 沒那麼太大區別
[4297s] 主觀投資
[4299s] 我們說有多大的區別
[4301s] 雖然我們從15年
[4302s] 就激烈
[4303s] 對這個東西認識
[4304s] 但是我們沒有投入了
[4306s] 10盤中
[4307s] 直接用這些東西
[4308s] 所以24之後就
[4310s] 框
[4311s] 漲幅就又非常的高
[4312s] 是
[4313s] 那個是主要是
[4315s] 提早接種了科技版塊嗎
[4317s] 其實在這個共中
[4318s] 應該說做得不好
[4320s] 就是我們
[4321s] 沒有去加倉
[4323s] 就是
[4324s] 25年之後起飛的
[4325s] 24年起飛的時候
[4326s] 我們沒有加倉
[4328s] 你說連924之後
[4329s] 924的過程中
[4330s] 沒有加一股
[4332s] 也沒有減一股
[4333s] 那當時你是
[4334s] 比如說
[4335s] 有多少比例是空倉呢
[4336s] 還是已經滿倉在運行
[4338s] 應該說呢
[4339s] 我們在那個位置
[4340s] 7層倉位
[4341s] 然後924之後
[4342s] 沒有加倉
[4343s] 沒加倉
[4344s] 怎麼考慮的
[4345s] 就是
[4346s] 太快了
[4347s] 我們也反映不過來
[4349s] 但我們是在前面呢
[4351s] 就已經
[4352s] 一天天
[4353s] 把組合調成
[4354s] 濃投版塊的濃投企業
[4356s] 科技
[4358s] 我們股票可能
[4359s] 我們股票可能其實
[4360s] 但是我們還配了一些轉倉
[4362s] 我們認為那個時候
[4363s] 轉倉很有心地
[4364s] 他跌呢
[4365s] 他跌不到哪去
[4366s] 但他
[4367s] 要股票長
[4368s] 他也能跟著長
[4369s] 所以其實我們
[4370s] 股票倉位就是
[4372s] 70左右
[4373s] 然後我們有很多的轉倉
[4375s] 那個時候買轉倉
[4376s] 其實是很合適的
[4378s] 股票倉位裡面
[4380s] 應該來提到是924之前
[4382s] 你們就布局了
[4384s] 像AIG類的科技版塊嗎
[4386s] 差不多吧
[4387s] 還記得當時
[4388s] 大概是怎麼判斷的嗎
[4390s] 我們其實從20年底
[4391s] 就往計算機啊
[4393s] 電子啊
[4394s] 就賠得更多了
[4395s] 在那會兒的邏輯
[4396s] 肯定不是AI的吧
[4397s] 它就是估值便宜啊
[4398s] 這各行也比較起來
[4400s] 量外排分它排的前面
[4402s] 也是一坨
[4403s] 你們的那套體系
[4404s] 也是不斷完善的這個體系
[4406s] 完善的體系
[4407s] 不斷的再進步
[4408s] 說那個時候
[4409s] 它挑出來就是這個
[4410s] 然後我們調研又發現
[4411s] 有些公司業
[4412s] 真的不錯
[4413s] 就賠到這裡都去了
[4415s] 因為我們也會參與
[4417s] 定徵企業
[4418s] 它很有動力
[4419s] 給你介紹
[4420s] 它在做什麼產品
[4421s] 然後給你講
[4422s] 所以我們
[4423s] 其實是一點點
[4424s] 就挪到這來了
[4426s] 而不是
[4428s] 比如說我
[4429s] 非常主觀的
[4430s] 我看好某一個行業機會
[4431s] 很難主觀的去企業
[4432s] 那只能說
[4433s] 我用估值7貨是最好的
[4435s] 如果加倉
[4436s] 就直接用估值7貨
[4438s] 聽起來這個思路
[4439s] 我還是一個
[4440s] 通過你們過友的
[4441s] 一個體系
[4442s] 對
[4443s] 並不是一個
[4444s] 你們非常主觀
[4445s] 就看好AI
[4446s] 看好科技
[4447s] 不是
[4448s] 這慢慢挪到這裡都來了
[4449s] 就是說說
[4450s] 而且這個AI和科技的話
[4451s] 肯定是
[4452s] 因為ChatsGPG出來以後
[4453s] 我們也很重視這個變化
[4455s] 有一無一的
[4456s] 就往這方面
[4457s] 就配了一些
[4458s] 籌碼
[4459s] 其實這個
[4460s] 我給你介紹一下
[4461s] 我自己的理解
[4462s] 為什麼叫
[4463s] 扛曼德這個名字
[4465s] 健康
[4466s] 曼是這個
[4468s] 曼曼德德道
[4470s] 扛的就是
[4471s] 是我
[4472s] 第一個十年的戰略
[4474s] 健康就是我活下來就好
[4476s] 我健康的活著就好
[4478s] 曼呢
[4479s] 就是說第二個十年
[4481s] 我們希望是曼妙的
[4483s] 是漫長的
[4485s] 我曼妙的
[4486s] 巧妙的做到
[4488s] 怎麼才能巧妙
[4489s] 只有把AI用好
[4490s] 才能做到巧妙
[4492s] 那算是漫長的
[4494s] 它就是堅持長期主義
[4497s] 第三個十年的話
[4499s] 我們希望做更多的實驗
[4501s] 再說
[4502s] 現在處在
[4503s] 公司發展第二個
[4504s] 十年的這個當口
[4506s] 也是剛才這三個字的邏輯
[4508s] 反正合格投資者
[4510s] 可以到時候去看
[4511s] 盯總他們的產品的曲線
[4513s] 反正我看產品的曲線
[4515s] 給我感覺已經不是
[4516s] 曼妙了
[4517s] 長幅還是非常客觀的
[4519s] 現在等於是一個
[4521s] 可能隨著
[4522s] 科技產業的突飛猛進
[4524s] 當然這是好的
[4525s] 積極的
[4526s] 但是它是走勢
[4527s] 也是不要積楬的
[4529s] 你會覺得
[4530s] 還是隨著漫妙長期的話
[4533s] 就是
[4534s] 我覺得要抓住
[4535s] 康波週期的這個機會
[4537s] 就是我們歷史上
[4539s] 經歷的
[4540s] 有幾次超預期的
[4542s] 就是07到08年的
[4544s] 回調
[4545s] 一定是超
[4546s] 大多數人預期的
[4548s] 因為它處在
[4549s] 康波週期
[4550s] 有繁榮
[4551s] 往衰退去走
[4553s] 因為平時我們研究的
[4554s] 更多是庫存週期
[4555s] 三到四年這個週期
[4557s] 你覺得
[4558s] 長這麼長時間就夠了
[4559s] 該下的下回調了
[4561s] 但是在這個
[4563s] 康波週期
[4564s] 階段上切換的時候
[4566s] 投降我會抽出
[4568s] 大家的運氣
[4569s] 所以那時候
[4570s] 爹能跌出
[4571s] 大家這波長
[4572s] 要援援抽出的運氣
[4574s] 人生又能經過
[4576s] 幾個康波週期
[4577s] 人生發財靠
[4578s] 康波
[4579s] 康波五十年到六十年
[4581s] 大多數完整的經歷
[4583s] 一個康波週期
[4585s] 如果
[4586s] 發展了
[4587s] 將後來人類
[4588s] 經過兩個康波週期
[4589s] 是有康波週期
[4590s] 之前我看
[4591s] 郭金濤的書
[4592s] 其實他自己預測
[4594s] 如說現在
[4595s] 是個40多歲的人
[4597s] 阿里說
[4598s] 現在就應該是你
[4599s] 經歷了
[4600s] 最後一次康波了
[4601s] 那是有可能
[4602s] 千萬要重視
[4603s] 這兩年
[4604s] 很多就是
[4605s] 你們這一代人
[4607s] 他們在股票市場
[4608s] 剩了很多錢
[4609s] 有很多傳奇
[4610s] 就已經在你們這代人身上
[4612s] 書寫出來
[4613s] 這都為什麼不是我的
[4615s] 我覺得
[4616s] 咱俩採訪完了以後
[4618s] 就有機會了
[4619s] 太好了
[4620s] 回到
[4621s] 剛剛說
[4622s] AI的那個問題
[4623s] 聽您說的這套思路
[4624s] 包括AI
[4625s] 現在在給你們做的事情
[4627s] 比如說它總結了
[4628s] 現在所有的市場的
[4630s] 包括
[4631s] 哪些是一個
[4632s] 看好的產業
[4633s] 萬一級的產業
[4634s] 千一級的產業
[4635s] 然後又給你民粹
[4636s] 卻的一個
[4637s] 食商官網
[4638s] 還是加倉的
[4639s] 這麼一個指標的信號
[4641s] 所有的這些信號
[4642s] 就是在你看來
[4643s] 因為它
[4645s] 主要是
[4646s] 通過市場上的
[4647s] 信息的總結
[4648s] 我們從一個
[4649s] 老派的觀點來看
[4650s] 聽起來是
[4651s] 應該市場上
[4652s] 已經形成了
[4653s] 某種共識
[4654s] 才會有這樣的內容
[4655s] 那它最後
[4656s] 是不是
[4657s] 給你的就是
[4658s] 共識下的
[4659s] 那樣的一些標底
[4660s] 而我們傳統上說
[4662s] 比如你要逆下
[4663s] 或者你要
[4664s] 超越共識才能
[4665s] 拿到超額
[4666s] 你覺得AI
[4667s] 它能做到嗎
[4668s] 這樣吧
[4669s] 我講講
[4670s] 我的底層的投哲學吧
[4672s] 就是12個字
[4674s] 第一個
[4675s] 是跟隨趨勢
[4677s] 第二個
[4678s] 就是
[4679s] 學習常識
[4681s] 第三個
[4682s] 是擁抱創新
[4684s] 所以
[4685s] 這個
[4686s] 12個字的
[4687s] 我覺得非常重要
[4689s] 你剛才想要
[4690s] 獲得
[4691s] 那個
[4692s] 超額收益
[4694s] 那就是要擁抱創新
[4696s] 所以
[4697s] 就說AI
[4698s] 可能不能
[4699s] 給你創新的東西
[4701s] 但是
[4702s] 它給你的
[4704s] 最無穩健的那個底盤
[4706s] 跟隨趨勢
[4708s] 不要跟趨勢作對
[4711s] 只有
[4712s] 跟隨趨勢
[4714s] 你才不容易
[4715s] 犯慘敗的這個事物
[4718s] 因為有很多人慘敗
[4720s] 就不信趨勢
[4721s] 跟趨勢作對
[4723s] 那你想想
[4724s] 這人情都往前走
[4725s] 你非要往後走
[4726s] 擠倒了
[4727s] 採死了
[4729s] 儘管你不明白
[4730s] 為什麼道理
[4731s] 在趨勢面前
[4733s] 你還是尊重趨勢
[4735s] 跟隨趨勢
[4737s] 我們之前
[4738s] 採訪過一些金經理
[4740s] 其實他們會提到
[4741s] 一個可能
[4742s] 大家都會說的
[4743s] 詞
[4744s] 賣在人生頂廢
[4745s] 什麼
[4746s] 賣在無人問金式
[4747s] 對
[4748s] 這個和您的這個
[4749s] 跟隨趨勢理論
[4750s] 它會有一些
[4751s] 不一樣的地方
[4752s] 是一把事
[4753s] 賣在人生頂
[4754s] 可以說
