[6s] Hello 大家好 欢迎来到我的波客节目起初连兵课
[9s] 我是大伟 问
[10s] 又到了一年一度的年报机中的真是中国系列了
[3606s] 以及我可以提供国内到海外目的地的投城
[3609s] 干线 伟城
[3611s] 全链路的供应链服务
[3612s] 以及在目的地国家提供倡处
[3615s] 配送等落定营服务
[3617s] 去年我就在讲
[3618s] 如果中国企业的这种出海
[3621s] 非要依靠EMS
[3623s] 或者是一些Fedex DHL
[3624s] 这些国际龙头的话
[3626s] 我相信大家的出海效率还是会就现在来说有很明显的降低的
[3632s] 但是因为有了顺风以及一系列的企业
[3636s] 中国企业的在供应链之方面的本地化就会做得更好
[3640s] 那么除此之外产业极群这块
[3642s] 其实去年我就在这个节目里面
[3644s] 聊过产业极群是如何帮助中国企业进化的
[3648s] 今年我可以想再带大家来看看
[3652s] 产业极群是如何帮助中国籍的全球公司诞生的
[3656s] 我想引入一个行业的案例
[3659s] 那就是新能源车
[3661s] 当然我这里主要指的是新能源客车
[3664s] 因为我比较熟悉的是与同客车
[3667s] 这个例子他一直是我跟踪的一个对象
[3669s] 他其实到了2025年
[3671s] 他的海外收入已经站到了60了
[3675s] 要知道这是一家10年前我还在投资机构的时候
[3678s] 完全本土化几乎没有出海的一家企业
[3682s] 现在已经达到了60%的海外收入
[3684s] 他在年报中提到的是说中国客车评借整车技术
[3689s] 工艺水平的提升
[3691s] 新能源技术的先发优势以及完整的新能源供应链等
[3694s] 综合实力在海外客车市场的站比快速提升
[3699s] 所以他非常重要指的是
[3701s] 不光是我的整车场会落地到海外去做产能
[3705s] 包括与同会做一些所谓的品牌竖出
[3707s] 而且他会有一个完整的新能源供应链
[3711s] 这包括了什么呢
[3712s] 从最上游的礼矿
[3714s] 因为我在比如说像干风礼业的年报里面
[3717s] 就看到说公司的一个非洲的礼归时
[3720s] 项目一期已经在2025年内正是投产
[3723s] 而且在处于产能爬坡的阶段
[3725s] 是非洲理资源加速进入全球市场的重要体现
[3729s] 然后再到下游
[3731s] 那当然就是动力电池
[3733s] 这个最大的一个体现就是在宁德时代
[3735s] 宁德时代现在他的售后服务网络
[3737s] 已经覆盖了75个国家和地区
[3740s] 有1200家售后的服务战
[3743s] 这个能够很好的助力
[3745s] 这些新能源汽车和客车公司
[3747s] 在当地进行一个组装
[3750s] 再到林布建就汽车的林布建厂商
[3752s] 以及这些林布建厂商自身的供应链
[3756s] 像我也关注了一个汽车电子厂商叫君圣电子
[3760s] 他在多年前就并够了一些欧洲的企业
[3763s] 进军了海外市场
[3765s] 他在今年的年报里的说法是说长期策略上
[3769s] 公司将坚持最优落地成本的原则
[3772s] 加速供应链的本地化
[3773s] 重点培育全球化布局的中国供应商和替代供应链
[3778s] 推进关键物料多远供应
[3781s] 购件更具任性的供应链体系
[3783s] 他考虑的不光是我自己在当地落一个林布建的基地
[3788s] 而且我还要把这些中国的供应商
[3791s] 以及相关的替代的供应商
[3793s] 能够拉到本地区建厂
[3795s] 就购建起了我们所谓的一个产业机群
[3798s] 所以我认为只有当一个产业的产业机群
[3802s] 都是现本土化的时候
[3804s] 所谓的成为当地经济发展的一部分
[3807s] 才不再是空谈
[3810s] 这个其实不光是在新疆原车
[3812s] 也在中国的很多
[3813s] 出海比较成功的这些行业里面有非常明显的体现
[3818s] 那只有你成为了当地经济发展的一部分
[3821s] 才有可能尽可能少的受到
[3824s] 我们再说的两个新逻辑
[3826s] 安全逻辑和贸易饭式的一个制约
[3828s] 当然有可能说到这里
[3829s] 有朋友会质疑说
[3831s] 那当年欧美的这些跨国企业
[3833s] 好像也没有实现产业机群的本土化
[3836s] 因为我们看到对吧
[3837s] 很多那些企业到了中国
[3839s] 或者说到了东南亚的以及其他的这些新新国家
[3843s] 就只是自己进去了而已
[3845s] 但那他们依然得到了彭博的发展
[3847s] 为什么到了中国产业集群本土化
[3850s] 就变得如此的重要呢
[3852s] 如果用非常简单的一句话回答
[3854s] 那就是时代不同的大人
[3856s] 因为你可以想像过去的跨国企业
[3859s] 他们的成长环境是一个自由贸易的
[3862s] 是地缘政治相对稳定的一个整个国际的大环境
[3867s] 不管是更早期的像日本的商设的发展
[3870s] 我研究了很多关于日本商设的一个发展史
[3873s] 包括他日本的这种汽车行业
[3875s] 韩国的汽车行业的全球布局的这个历史
[3879s] 以及美国的这些跨国的消费企业
[3881s] 科技企业的一种布局的时候
[3884s] 他们除了文化和制度上
[3886s] 当然有一些原因之外
[3888s] 整个国际大型是国际化的这个阶段是非常重要的
[3892s] 但中国显然现在面临的环境不光是不同了
[3897s] 甚至可以说是竭然相反的
[3898s] 所以同样是向国际化进发显然中国籍的全球公司
[3903s] 它的道路会不可避免的更难一些
[3907s] 要考虑的因素更多一些
[3909s] 但我觉得这还不是全部
[3910s] 就是所谓的产业集群本地化还没有到第三层
[3914s] 第三层的本土化是什么
[3916s] 是研发
[3917s] 而且这个我觉得是一个更新的命题
[3921s] 这里的一个典型代表当然是生物医药
[3923s] 因为生物医药本身就是一个很特殊的行业
[3927s] 你想把要卖到海外去
[3929s] 本身它的零床数据就要求要有一定程度的
[3933s] 或者说是相当程度的国际化
[3935s] 所以要行业先天就有研发本土化的需求
[3938s] 甚至我们可以看到最近又有新闻说
[3940s] 美国又准备对中国的零床数据
[3943s] 国会开始要做一定程度的限制
[3947s] 甚至是替除
[3948s] 这个当然我们觉得非常的荒谬
[3950s] 但是如果真的实施的话
[3952s] 你可以想象对于这些医药行业的研发本土化
[3955s] 要求会更高
[3957s] 但是从始儿我必须要说的是
[3959s] 看今年2025年生物医药的年报是除了AI
[3964s] 这个基础设施产业集群之外
[3966s] 我个人最振奋的一个年报的群体
[3970s] 就是他们的年报里面对于未来的乐观程度
[3973s] 是远高于其他行业的
[3975s] 这里我就不举具体的例子了
[3977s] 但如果说到这个研发本土化的话
[3979s] 举一个例子就是百计生州
[3981s] 它是说我们在全球六大州建立起了
[3985s] 一支约3800人规模的全球零床团队
[3989s] 让我们能够在基本不许依赖CIO
[3992s] 也就是零床外包的情况下开展零床实验
[3996s] 这个本土化或者说是全球化的进度
[3999s] 而绝对是在中国的各个产业里面都是领先的
[4002s] 除了医药之外
[4003s] 其实你会发现被新逻辑激发的研发本土化
[4007s] 还发生在了很多别的行业里面
[4010s] 比如说前面讲有万外包这个词
[4012s] 出自环续电子的年报
[4015s] 那么电子制造业里面是怎么去做研发本土化的呢
[4019s] 环续电子是这么说的
[4020s] 它说电子制造服务商正在积极转型升级
[4024s] 争取在供应链上扮演更重要的角色
[4027s] 具体来说下游客户和上游电子制造服务商的合作
[4032s] 融合加深
[4033s] 中端的这些消费电子品牌商
[4035s] 云服务商其他品牌商不再仅仅是定单的下达者
[4039s] 而是更深入的参与到电子制造服务商的生产过程中
[4044s] 包括技术研发生产计划制定
[4046s] 这两控制等等环节
[4048s] 而且于是同时电子制造服务商也不再是被动的按照定单生产
[4053s] 而是更加积极的参与到了品牌商的产品规划和设计中
[4057s] 提供专业的技术和功力建议
[4060s] 从而双方形成了更紧密的合作伙伴关系
[4063s] 所以研发现在是什么样的
[4065s] 是特别是在电子制造领域
[4067s] 是双向的
[4068s] 是更紧密的
[4069s] 是更在地的
[4071s] 说到这我突然想到一个例子
[4073s] 就是昨天在哈佛开会
[4075s] 传因控股
[4076s] 大家可能听说过这家公司
[4077s] 它其实是在非洲的手机龙头企业
[4081s] 有一个来自非洲的一个学者
[4084s] 它就给我们介绍说
[4086s] 为什么传因控股的手机可以在非洲得到这么大的成功
[4091s] 当然还有很多眼影
[4092s] 但其中一个很有趣的原因是因为
[4095s] 只有它在前期在考虑手机摄影的时候
[4099s] 考虑到了黑人的自拍需求
[4102s] 大家可能因为我们不是这个膚色的人
[4106s] 你很难想象
[4107s] 就不同膚色的人手机的传感器
[4109s] 对它的敏感程度是不一样的
[4112s] 黑人很困扰的一点就是在传统的手机的拍照里面
[4117s] 它会很容易融入到这个环境里面
[4121s] 特别是在晚上
[4122s] 它会显不出来特别的不明显
[4124s] 但是这一点传因控股的手机
[4127s] 就通过硬件跟软件的双向迭代优化
[4131s] 然后把这个问题解决了
[4132s] 所以你可以想象非洲的人民们就非常喜欢去买
[4136s] 传因的手机因为拍照更好看了
[4138s] 这就是一个非常典型的案例
[4140s] 就是你的研发如果不在地
[4142s] 你不考虑当地的需求
[4144s] 那么你就做不出在当地
[4146s] 能够真正受欢迎的这个产品
[4149s] 其实我在讲刚才这一大段的内容的过程中是很感慨的
[4155s] 因为我还记得就是在我刚刚开始做这个系列的二零一八一九年
[4160s] 我也看到一些初海的年报
[4163s] 他们里面更多讲的就是销售初海
[4166s] 最多到了产能初海
[4168s] 甚至供应链处海
[4169s] 我觉得当时都在只能说在运遇过程中
[4172s] 那么研发初海就就不用说了
[4174s] 除了像传因这样的例子之外
[4175s] 几乎是不存在的
[4177s] 但是就在短短的这几年里面
[4179s] 你可以看到
[4181s] 理路说的这种中国极的全球公司
[4183s] 其实是在不断增加的
[4185s] 这种三段式的本土化
[4187s] 就是制造本土化
[4188s] 产业基金本土化
[4190s] 供应链本土化再到研发本土化
[4192s] 其实是可以更好的适应
[4195s] 我们在说的这种新的贸易饭式也好
[4197s] 或者是顺应这种安全逻辑也好
[4200s] 所以它对于中国企业的初海模式
[4203s] 我认为是可以单的上重够两个字的
[4206s] 这一段的最后
[4207s] 我引用卖锐医疗在年报里说的一句话
[4210s] 它说我们始终认为
[4212s] 逆全球化带来的不是封闭
[4215s] 而是更深度的本地化
[4217s] 当然讨论了初海这个问题
[4219s] 我并不是想说
[4220s] 在当下的国内的环境下面
[4222s] 中国企业只有初海这一条路
[4224s] 事实上最后一个关于重够
[4227s] 关于如何这个适应新逻辑的一个起发
[4231s] 来自于宁德时代来自于宁王
[4234s] 因为它在年报一开始就提出来一个
[4236s] 我觉得非常有价值的问题
[4237s] 它说如何在不确定的世界中
[4241s] 构建确定性的长期价值
[4243s] 我觉得这个是放在任何一个想要
[4246s] 长期生存甚至发展的中国企业面前的
[4250s] 最重要的一个课题
[4252s] 那么宁德时代是怎么来回答这个问题呢
[4255s] 因为毕竟它现在已经成长成了
[4257s] 一个万一市值的新能源巨头了
[4260s] 它认为长期价值意味着两部分
[4263s] 首先企业真正的竞争力
[4265s] 除了阶段性的业绩之外
[4266s] 更在于是否能够建立起一个
[4269s] 长期稳定可持续创造价值的体系
[4273s] 推动企业行业乃至社会的共同进步
[4277s] 我觉得这个所谓的长期稳定
[4280s] 可持续创造价值的体系
[4281s] 对于不同行业的意义是不同的
[4284s] 我们仅仅是拿宁德时代作为一个
[4286s] 电池制造企业作为例子的话
[4289s] 它认为这个体系
[4292s] 不但包括了技术创新的总身
[4294s] 这个当然非常重要就是技术创新
[4296s] 但它提了一个我觉得很有意思的点
[4298s] 就是产品的质量
[4300s] 它在年报里面就特别地说
[4302s] 说造电池容易
[4303s] 但造好电池很难
[4305s] 在高度规模化的产业中
[4307s] 任何细微缺陷都会被时间和空间无限放大
[4311s] 宁德时代始终将品质视为生命线
[4313s] 关键质量标准叫行业平均实现数量级的顶线
[4317s] 我觉得这句话并不是一句空话
[4319s] 或者说是一个犯犯之谈
[4321s] 因为你可以想象
[4322s] 这个公司已经是被市场视为新能源行业
[4326s] 甚至是更大的一个行业顶良住的龙头公司
[4330s] 但它在年报里面不谈什么
[4332s] AF能不谈什么全战生态
[4334s] 它谈的是什么
[4335s] 谈的是细微缺陷会被时间和空间无限放大
[4340s] 这一点我觉得恰恰说明了
[4342s] 中国制造业在这么多年
[4344s] 它能够在全球进众中剩初的逻辑
[4348s] 很重要的之一就是要把物理上的细节做到一个极致
[4352s] 但你可以想象在现在越来越陷入到内卷的这种
[4356s] 中国制造业产业里面
[4357s] 其实有可能是被某些企业在慢慢放弃的
[4361s] 而这个是非常非常危险的一个点
[4364s] 也是不利于所谓的构建确定性的长期价值的
[4368s] 因为我现在海外生活我的感受就很深
[4371s] 当你问每一个人中国制造到底意味着什么的时候
[4375s] 其实已经是从以前我们经常会讲价格便宜嘛
[4378s] 对吧对于很多的外国人来说
[4380s] 现在很多人都会认为你
[4382s] 其实是物美价廉的
[4383s] 就中国制造不再是一个贬义词
[4386s] 特别是对于发展中国家来说
[4388s] 但什么时候可以达到
[4391s] 我觉得宁德时代现在达到的一个高度就是价
[4394s] 其实是不联的
[4395s] 价是OK的
[4396s] 但是我的物超美
[4398s] 就是我的这个质量非常的好
[4400s] 我是可以用一个更好的质量来换取一个价格上的一价的
[4405s] 这一点我认为是中国企业下一阶段构建所谓的确定性的长期价值
[4411s] 非常重要的一个点
[4412s] 而宁德时代其实在这里把它给点出来了就是所谓的质量
[4418s] 但是呢当然仅仅注重质量也不够
[4420s] 它不足以重够长期价值
[4422s] 那么宁德时代在年报中还接着说
[4424s] 说面向未来相较于复制既有成功经验
[4428s] 宁德时代更致力于拓展新能源的边界推动产业从局部突破
[4433s] 走向全域增量
[4435s] 什么是全域增量
[4437s] 在宁德时代看来就是
[4439s] 将电池不再视为交通工具或处能设备的组成部分
[4444s] 而是成为支撑能源系统缓冲
[4447s] 稳定和调度的基础单元
[4449s] 如果用四个字来形容它的这段话
[4451s] 我认为就是隔举打开
[4453s] 当你仅仅是一个制造业的企业的时候
[4456s] 你一定不能只看自己生产的这一点点的东西
[4459s] 而是要去思考自己的这个东西
[4462s] 如何能够放在一个更大的时代命题
[4465s] 或者说是一个技术革命里面
[4467s] 那么宁德时代显然就是找到了它所在的这个位置
[4471s] 才能一步一步的
[4473s] 在过去这段时间走出2022年的那一波
[4477s] 可以说是泡沫
[4478s] 然后到有一定程度的破裂的这种周期而重返高峰
[4483s] 当然在这里我要回到之前有提到过的一个
[4486s] 我觉得很必要的思考就是你会发现
[4489s] 在同一场AI浪潮里面中美资本市场
[4492s] 挑的都是自己能消化的那一段再去利用
[4497s] 为什么我们刚才在讲美国更重是软AI
[4499s] 在重视这个AI的资本开支
[4502s] 是因为它在大模型在软件
[4505s] 在应用生态的这个优势是非常的想而意见的
[4509s] 而为什么中国会更重视光磨组
[4512s] 会重视这些电池处能甚至是书电设备
[4516s] 是因为中国在能源矿产制造的这种产业
[4521s] 练的优势也是非常的真实的
[4523s] 所以两个地方的资本市场的偏好
[4526s] 其实是各自比较优势在这个新浪潮下的一个延伸
[4530s] 而我刚才也讲过了在一个新浪潮下
[4533s] 刚才讲的两个安全逻辑这些东西是可以暂时被忽略的
[4537s] 但关于这一点就是所谓的在中国AI正在被物理化
[4541s] 大家更重视的是那些物理世界的东西
[4543s] 我觉得很有趣的有两个点
[4546s] 第一个点就是你会发现我们越多的使用AI
[4550s] 当这一点不光是在中国
[4551s] 也包括在美国和其他国家
[4553s] 我们越多的使用AI去帮助我们
[4556s] 在虚拟世界的这些活动
[4558s] 不管是创造这种文字服务等等的
[4562s] 物理世界的基础设施就变得更加的重要
[4566s] 这点美国人现在可能比中国人意识的更加的显著一些
[4571s] 因为在美国算力的发展的限制就是被能源
[4576s] 他们可能都不光是被芯片了
[4578s] 更重要的是被能源被这些真正的物理世界的基础设施所限制到的
[4584s] 所以你会发现中国的这些企业
[4586s] 你比如说刚才说到好麦科技在讲
[4588s] 燃气轮机是新的基础设施
[4591s] 宁德时代在说电池是新的基础设施
[4594s] 这些传统制造业其实都在把自己重新秘密为
[4598s] AI时代的一些基础单元
[4601s] 我觉得这是非常有意思的一个点
[4603s] 就是在我们彻底进入到所谓的虚拟世界进入到AI时代之前
[4608s] 有这么一个过渡期间
[4610s] 它有一个你甚至可以说是物理世界的回光反照
[4613s] 它变得更重要了
[4614s] 物理世界的这些设施变得更重要了
[4616s] 当然我相信等过了这个阶段之后
[4619s] 我们会彻底的进入到一个以虚拟以这个线上为核心的这么一个时代
[4626s] 但是从时我觉得对于中国来说
[4628s] 必须要考虑的一个点就是下一个时代的问题
[4631s] 如果你把这个技术革命减减单单的物理化了
[4635s] 它的代价是非常大的
[4637s] 它的代价是什么就是想象力会被压缩
[4640s] 你可以想象如果中国AI的故事永远停留在
[4643s] 我们能给数据中心共多少电
[4646s] 我们能造多少的光模块
[4648s] 或者是类似这样的东西来帮助美国建设它们的算利中心
[4653s] 最后的结果是什么
[4654s] 结果就是我们会重导智能手机时代的负责
[4658s] 那就是产业链的最肥美的利润
[4662s] 在智能手机发展最快的那个时代是归属到了苹果
[4666s] 归属到了那些能够开展全球化业务的一些软件平台和应用公司
[4672s] 美国现在的所谓的Magic 7基本上都是在这个逻辑下日益发展起来的
[4678s] 而我们自己的这些软件公司平台公司除了能在本土市场
[4683s] 称王成把之外其他的智能手机我们能知道什么
[4686s] 就是吃到制造环节的一点点汤汤水水而已
[4689s] 所以在这些节目的最后我必须要讲的是
[4692s] 不管我们最早讲的K型分化也好安全逻辑贸易饭是包括中国籍的全球公司
[4699s] 以及AI时代的基础设施这些东西都好
[4703s] 其实这些企业家们在探索在发明的一些新名词
[4708s] 我觉得他们带来的重够都是不够的
[4710s] 我们希望看到的什么
[4712s] 看到的是更多的Dipsick看到的是更多的百计神州
[4716s] 是更多的从研发阶段就能够引领技术革命的一些公司和产品
[4722s] 我觉得只有这样才能真正做到宁德时代说的那句
[4726s] 在不确定的世界中够见确定性的长期价值
[4731s] 那么问题来了到底是什么阻止了研发和应用层的突围呢
[4736s] 是制度问题 资本问题 人才问题还是入境依赖问题呢
[4742s] 这个命题当然非常的大
[4744s] 我希望未来有机会可以去做更多的研究
[4748s] 但是最近我看到了一篇外文的评书文章
[4752s] 我觉得它里面有一段话
[4754s] 或许在现阶段最接近我心中的一个答案
[4758s] 我把它引用在这里分享给各位
[4760s] 它说除了缺乏最先进的芯片之外
[4764s] 中国还面临着很多结构性的制约
[4767s] 比如说国内市场的消费能力较弱
[4769s] 资本市场的规模远小于美国
[4771s] 而且资本管制限制了其对主流外国投资者的兴利
[4776s] 于是从时中国科学家虽然已经击身世界顶尖常烈
[4781s] 但其中许多人扔在美国大学接受的培训
[4784s] 中国吸引的外国研究人员和工程师相对较少
[4787s] 而归谷 则能从全球人才库中积取力量
[4791s] 包括中国的顶尖人才
[4792s] 当然现在也稍微有一些问题存在
[4796s] 但总体来说 我觉得这个手法是对的
[4799s] 除此之外中国科技领域的风险投资
[4802s] 有相当一部分来自美国
[4804s] 这使其容易受到美国限制措施的影响
[4807s] 同时因为安全问题而被西方公开市场日益排斥
[4811s] 进一步限制了其获取最有力可图的资本渠道
[4815s] 尽管中国在发展中国家市场中很可能占据主导地位
[4819s] 我觉得它这里边提到了很多个点
[4822s] 不管是说国内的消费市场的弱 资本市场的不够大
[4827s] 包括资本管制的问题以及人的问题
[4831s] 你的更多的人还是本土的人以及回流的人
[4835s] 你很难吸引到外国的科学家
[4837s] 虽然我们其实前两年有一个希望开设签证的这么一个动义
[4843s] 结果你会发现社会舆论的反弹非常非常的大
[4846s] 当然我们也可以理解这些反弹的人在想什么
[4850s] 因为每个人的工作现在都积极可威
[4853s] 但是你可以想象为什么是美国能够成为这几轮科技创新的领先者
[4859s] 而不是欧洲 不是日本
[4861s] 不是其他的这些资本主义发达国家
[4864s] 其中这个人才全世界人才的聚集
[4867s] 我觉得是非常重要的
[4868s] 那在美国现在自己开始往后退的时候
[4872s] 中国如何可以去成接这些全球的人才
[4878s] 我觉得这应该是放在现在决策层的一个非常非常重要的问题
[4882s] 当然也包括他最后讲的这些像风险投资的问题
[4885s] 然后在全世界市场能不能开拓的这些问题
[4890s] 我觉得这里每一个点都不是三五年能够解决的
[4893s] 甚至可以说除了时间之外
[4895s] 我们还需要很多别的东西
[4898s] 比如说像破壞事的创新
[4900s] 比如说像对整个技术研发机制的一个重购
[4904s] 所以从这个角度来说
[4905s] 我认为中国现在至少我在海外的一个感觉
[4909s] 就是我们对外的信息披露是越来越少
[4912s] 不管是任何的层级
[4914s] 其实信息的对外公开的发布都在变少
[4918s] 最简单的就是我在企业年报里面能看到的
[4921s] 这些年以来我从里面能集取到的信息
[4925s] 其实是在不断下降的
[4927s] 原来可能还能有一些高管有一些董事长
[4931s] 非常明确的说出自己的所思所想
[4934s] 那么到中间它引在了背后
[4936s] 到现在几乎就有小声逆迹了
[4938s] 我只能从今天大家可以听到
[4940s] 节目里面我更多的是描述了一些案例
[4943s] 描述了一些故事背后
[4946s] 我猜测的一些原因
[4948s] 来去体会里面的一些信息量
[4951s] 它可以说是一个好事
[4953s] 因为门声干大事嘛
[4955s] 对吧
[4956s] 你全都说出来了
[4957s] 反而可能会招惹很多的麻烦
[4960s] 不管是在国内还是在世界的舞台上
[4964s] 现在都是这么一个情况
[4967s] 但是它也不一定是好事
[4969s] 最简单的一点
[4970s] 你可以想像
[4971s] 如果现在海外的人才想要进入中国
[4974s] 它如果都不知道中国现在的技术
[4976s] 现在的这种研发环境
[4978s] 到底是什么样子的
[4979s] 没有很多的中国的科学家
[4982s] 或者是中国的企业家站出来告诉这些人才
[4985s] 现在中国到底是一个什么样的情况
[4988s] 那么你怎么能指望这些人才
[4990s] 都别说是外国人才的进入了
[4992s] 中国自己的人回流
[4994s] 从我现在在美国这一年
[4996s] 跟很多很多人的交流来看
[4998s] 都是非常困难的
[4999s] 因为他们对于中国的很多想像
[5002s] 都是像Walk Like Balance的问题
[5005s] 像这个企业内卷的问题
[5007s] 当然我觉得这些问题是客观存在的
[5009s] 但是像最近开会
[5011s] 我也能听到说
[5013s] 现在在中国的大学
[5014s] 其实有了一些类似美国大学里面
[5017s] 如何把这个研发的创新
[5020s] 转化为一个实际的商业案例
[5023s] 里面的这种VCE的资金的投入等等的
[5026s] 这些机制其实已经有了
[5027s] 但是你在外界是很难听到一些宣传的
[5031s] 在这个过程中
[5032s] 如果你不增加自己的透明度
[5034s] 我觉得对于人才回流肯定不是一件好事
[5037s] 当然也许是我太幼稚了
[5039s] 如果你站在一个大国竞争的角度来说
[5042s] 这里面的度是需要把握的
[5044s] 但是我还是必须要呼吁一下
[5047s] 至少你从这么多轮的技术创新的路径来看
[5052s] 包括我去年最喜欢的这本李菲菲的自赚
[5056s] 来看的话
[5057s] 包括产业之间产业与大学之间
[5060s] 以及对外的透明
[5062s] 以及他们这些交流是非常重要的
[5064s] 好
[5065s] 聊了这么多
[5066s] 也把今年的这个年报纪里面
[5068s] 我能够看到的一些信息
[5070s] 已经分享给各位了
[5072s] 最后我想引用一段美迪集团的年报
[5075s] 来结束这期节目
[5078s] 他说全球进200年间企业的变迁历史
[5081s] 说明了一个简单的道理
[5083s] 企业失败或走向衰落具有普遍性
[5086s] 成功的惯性会累计成为坠落的重量
[5089s] 绝大部分的企业最终都会走向平庸
[5091s] 而企业长新的企业的中纪能力不是增长
[5095s] 而是不断的原地重企或再生
[5098s] 当然他讲的是美迪
[5100s] 需要去质疑过去曾经熟悉的路径方法
[5103s] 要打破固有的习惯思维
[5105s] 要改变已经在运行过去被证明为成功的机制体制
[5109s] 但是我觉得他说的这一点
[5111s] 不光是对于美迪生效
[5113s] 对于很多的企业甚至
[5115s] 对于更多层级的这种经济体也是生效的
[5119s] 那他最后说
[5121s] 繁荣的代价是永恒的不安
[5123s] 破坏才能增长
[5124s] 稳定只是一种患绝
[5126s] 我觉得这句话
[5127s] 地方面当然非常的稳义
[5130s] 但另外方面也让我感觉到
[5132s] 放在这些中国的企业面前
[5134s] 有着非常强烈的紧迫感
[5136s] 危机感当然也不光是企业层面
[5139s] 我们个人也有这样的紧迫感
[5141s] 危机感
[5142s] 这是我们每个人
[5144s] 特别是中国人感受到疲备
[5146s] 想要逃离
[5148s] 逃离这种内卷
[5149s] 逃离这种对于技术的焦虑的很重要的原因
[5154s] 但我必须要说同时
[5156s] 他也是促进中国的产业进步的
[5159s] 原权之一
[5160s] 就像里陆在他的访谈
[5162s] 中间也说到的
[5163s] 说中国经过四五十年的发展
[5166s] 我们开始具备了人财技术市场
[5168s] 各个方面都到了一个创造力爆发的时代
[5171s] 在这个时代里头
[5173s] 原创的技术 原创的产品
[5175s] 了不起的定义行业的企业
[5177s] 在几乎所有的领域里面都会密集性的出现
[5180s] 这个时代对于一个没有边界的企业来说
[5183s] 对于一个能够用第一性原理来思考
[5185s] 公司未来前景的企业来说
[5188s] 我们有工程师的红利有技术的积累
[5190s] 能够爆发出的创造力会更加的惨烂
[5193s] 当然
[5194s] 我们更希望这一点能够不已
[5196s] 对于劳动力
[5197s] 对于我们每个普通人的牺牲作为一个代价
[5201s] 但无论如何
[5202s] 其实在今年的年报纪里面
[5204s] 我们看到了很多的产业在沉淪
[5208s] 在争扎
[5209s] 也看到了很多的产业在争争日上
[5212s] 那么也希望到明年的年报纪
[5214s] 我们在回头看的时候
[5216s] 能看到2026年对于中国产业
[5219s] 能是比2025年更加稳定的一个发展环境
[5223s] OK 今天的节目就到这里
[5225s] 我们明年再见
